,company_index,name,category_list,funding_total_usd,status,region,funding_rounds,founded_at
38208,22467,Narrative Science,Artificial Intelligence|Big Data|Big Data Analytics,32400000,1,North America,6,2010-01-01
38210,22468,NarrativeDx,Health and Wellness|Health Care Information Technology|Natural Language Processing,2218000,1,North America,4,2013-10-01
38211,22469,"NarrativeWave, Inc.",Analytics|Data Visualization|Predictive Analytics,1225000,0,North America,2,2014-06-20
38212,22470,Narrato,Cloud Computing|Curated Web|Mobile,226252,1,Europe,3,2012-09-17
38213,22471,Narsys Mobile,Software,50000,1,North America,1,2013-08-01
38214,22472,Narus,Security,38700000,1,North America,2,1997-01-01
38215,22473,Narvalous,Facebook Applications|Games|Social Games|Startups,3100000,1,North America,2,2010-01-01
38216,22474,Narvar,E-Commerce|Enterprise Software|Retail|SaaS|Shipping|Supply Chain Management|Transportation,12000000,1,North America,2,2012-01-01
38217,22475,Narvii,Software,8332219,1,North America,2,2009-01-01
38219,22476,Nasıl TV,Video,564971,1,Asia,1,2011-12-01
38220,22477,Nascent Biotech,Biotechnology,1967500,2,North America,3,2008-01-01
38221,22478,Nascent Surgical,Biotechnology,363000,1,North America,3,2010-01-01
38222,22479,Nascentric,Software,13400000,0,North America,2,2003-01-01
38223,22480,Naseeb Networks,Curated Web,8500000,1,Asia,4,2003-01-01
38225,22481,Spirox,Biotechnology,22500000,1,North America,2,2012-01-01
38226,22482,Nasseo,Health Care,2341899,1,North America,3,2012-04-19
38227,22483,Nasty Gal,E-Commerce|Fashion|Retail,65000000,1,North America,3,2006-11-01
38228,22484,Nasuni,Cloud Data Services|Enterprise Software,53000000,1,North America,4,2009-04-01
38229,22485,Nasza-klasa.pl,Social Media,55630000,1,Europe,2,2006-11-01
38232,22486,Natcore Technology,Clean Technology,8390080,2,North America,4,2009-01-01
38233,22487,Natera,Biotechnology|Health Diagnostics,154100000,2,North America,7,2004-01-01
38235,22488,NATION Technologies,Data Security|Information Security|SaaS|Security,23630,1,North America,2,2008-12-01
38238,22489,National Fuel Solutions,Clean Technology,758206,1,North America,1,2012-01-01
38239,22490,National Funding,Business Services|Financial Services,105000000,1,North America,2,1999-01-01
38242,22491,National Institutes of Health,Health and Wellness,55000000,1,North America,2,1887-01-01
38246,22492,National Networkers Association,Media|News,10000,1,North America,1,2014-01-20
38247,22493,National Payment Network,Finance,4930000,0,North America,2,2002-01-01
38251,22494,National Technical Systems,Consulting,14000000,2,North America,1,1961-01-01
38255,22495,National Veterinary Associates,Medical Professionals,128000000,1,North America,1,1996-01-01
38257,22496,NationalField,Enterprises|Enterprise Software|Facebook Applications|Networking|Social Media|Twitter Applications|Web Development|Web Tools,1500000,1,North America,1,2009-06-12
38259,22497,NATIONSPLAY,Social Media,1900000,1,Europe,1,2013-03-15
38260,22498,Nationwide PharmAssist,Health Care,55000,1,North America,1,2011-01-01
38261,22499,NationWide Primary Healthcare Services,Health and Wellness,1000000,1,Asia,1,2010-03-30
38262,22500,Nationwide Specialty Finance,Automotive|Finance|Services,420000,1,North America,2,2010-01-01
38264,22501,Native,Apps|Curated Web|Local Based Services|Mobile,118000,1,North America,1,2014-02-13
38269,22502,NativeAD,Advertising|Advertising Platforms|Internet Marketing,2150000,1,North America,2,2013-07-01
38273,22503,Nativis,Biotechnology,9886414,1,North America,2,2002-01-01
38274,22504,Nativoo,Travel,500000,1,South America,1,2012-04-01
38276,22505,NatSent,Business Services|Curated Web|Internet|Opinions|Politics|Polling|Social Media,70000,0,North America,1,2010-01-01
38280,22506,Natural Cleaners Colorado,Clean Technology,1900000,0,North America,1,2005-01-01
38281,22507,Natural Convergence,Software,19114247,1,North America,2,2001-01-01
38282,22508,Natural Dentist,Dental|Health Care|Medical,12643989,1,North America,2,1995-01-01
38286,22509,Natural Machines,3D Printing|Consumer Electronics|Internet of Things,1000000,1,North America,1,2012-01-01
38289,22510,Natural Restoration Partners,Manufacturing,143000,1,North America,1,2007-02-27
38291,22511,NaturalMotion,Games|Graphics,11000000,1,Europe,3,2001-01-01
38292,22512,NaturalPad,Health Care,350000,1,Europe,1,2013-01-01
38293,22513,NaturalPath Media,Advertising|Green|Media,250000,1,North America,1,2006-06-01
38297,22514,DeerTech,Environmental Innovation|Services|Technology,4000000,1,North America,1,2003-01-01
38298,22515,NatureBank,Apps|E-Commerce|Education|Investment Management|Media|Social Media|Virtual Currency,225000,1,North America,1,2014-07-01
38299,22516,NatureBox,E-Commerce|Retail,58500000,1,North America,4,2012-01-01
38302,22517,Nature's Therapy,Medical|Pharmaceuticals,5000,1,North America,1,2004-03-10
38305,22518,NaturVention,Health and Wellness,1469331,1,Europe,1,2011-01-01
38308,22519,Naubo,News|Social Bookmarking,200000,0,North America,1,2007-06-22
38309,22520,Nauchime.org,Education|Teachers|Training,6597,1,Europe,1,2013-01-01
38310,22521,Naurex,Biotechnology,162106599,1,North America,5,2008-01-01
38311,22522,Nautal,Leisure|Service Providers|Travel & Tourism|Vacation Rentals,250611,1,Europe,1,2013-05-02
38312,22523,Nautilus Biotech,Biotechnology,20829400,1,Europe,2,1999-01-01
38313,22524,Nautilus Neurosciences,Biotechnology,25755532,1,North America,2,2009-01-01
38315,22525,Nautit,Curated Web,109361,1,Europe,1,2012-01-01
38317,22526,navabi,E-Commerce|Fashion|Retail|Textiles,45431351,1,Europe,4,2008-01-01
38318,22527,Navagis,Software,200000,1,North America,1,2008-01-01
38323,22528,Navdy,Cars|Displays|Mobile Commerce,26500000,1,North America,2,2013-01-01
38325,22529,Navendis,Location Based Services|Service Providers|Transportation,132694,1,Europe,1,2010-01-01
38326,22530,Navent,Employment|Real Estate|Search,50000000,1,South America,2,2010-01-01
38328,22531,Navera,Consulting,13500000,1,North America,5,2009-01-01
38329,22532,Naverus,Public Transportation,14000000,1,North America,2,2003-01-01
38330,22533,Navetas Energy Management,Clean Technology,5790000,1,Europe,1,2008-01-01
38331,22534,Navic Networks,Advertising,42000000,1,North America,3,2000-01-03
38332,22535,Navidea Biopharmaceuticals,Biotechnology|Health Diagnostics,92500000,2,North America,3,1983-01-01
38334,22536,NaviExpert,Mobile,155000,1,Europe,1,2005-01-01
38335,22537,Navigat Group,Manufacturing,46000000,1,Asia,2,2003-01-01
38336,22538,Navigating Cancer,Health and Wellness|SaaS,15250000,1,North America,3,2008-01-01
38337,22539,NavigatorMD,Biotechnology,50000,1,North America,1,2005-01-01
38339,22540,Navigenics,Biotechnology,43000000,1,North America,2,2006-01-01
38340,22541,Navigine,Developer Tools|Enterprise Software|Indoor Positioning|IT and Cybersecurity|Mobile|SaaS,240000,1,North America,2,2011-12-01
38341,22542,NaviHealth,Health and Wellness,4099999,1,North America,2,2011-01-01
38344,22543,Navini Networks,Web Hosting,80920000,1,North America,3,2000-01-01
38345,22544,Navio Health,Health Care|Mobile Health,870000,1,North America,3,2013-01-03
38348,22545,Naviscan,Biotechnology,19330001,1,North America,4,1995-01-01
38349,22546,Naviswiss,Hardware + Software,1151108,1,Europe,1,2007-01-01
38352,22547,Navitas Midstream Partners,Energy|Natural Resources|Oil & Gas,500000000,1,North America,1,2013-01-01
38353,22548,Navitas Solutions,Software,14000000,1,North America,3,2004-01-01
38357,22549,Navman Wireless OEM Solutions,Mobile,5000000,1,North America,1,2001-01-01
38358,22550,Navmii,Automotive|Maps|Mobile|Navigation,4241446,1,North America,2,2010-07-12
38360,22551,NavSemi Energy,Semiconductors,200000,1,North America,1,2008-01-01
38363,22552,Navut,Local Based Services|Real Estate|Software|Web Tools,188679,1,North America,1,2012-01-01
38364,22553,NAVVI,Public Relations,5000,1,North America,1,2011-06-01
38365,22554,Navvi,Enterprise Software|Internet of Things|Location Based Services|Publishing,1500000,1,North America,1,2012-09-01
38366,22555,NAVX,Automotive|Gps|Location Based Services|Mobile|Navigation,4068970,0,Europe,2,2005-12-30
38367,22556,Nayam Innovations,Health Care|Technology,100000,1,Asia,1,2012-01-01
38369,22557,Nayi Disha Studios,Educational Games|Games|K-12 Education|Kinect|PC Gaming|Skill Gaming|Virtual Worlds,320000,1,Asia,1,2012-06-21
38370,22558,Naymit,Android|Navigation|Travel|Web Development,27034,0,Europe,1,2011-01-01
38371,22559,Naytev,Digital Media|SaaS|Social Media,120000,1,North America,2,2014-02-22
38372,22560,NAZAR,Analytics|Databases,100000,1,South America,1,2014-01-01
38373,22561,Nazara Technologies,Mobile,9301500,1,Asia,3,2000-01-01
38376,22562,NBD Nanotechnologies Inc,Finance|FinTech|Nanotechnology,7408000,1,North America,4,2012-03-05
38378,22563,NBE-Therapeutics,Biotechnology|Medical|Therapeutics,3097541,1,Europe,1,2012-01-01
38380,22564,NBO TV,News,18000000,0,Oceania,2,2010-07-30
38382,22565,nChannel,Data Integration|E-Commerce,5022837,1,North America,4,2011-01-01
38383,22566,nCino,Enterprise Software|Finance,49000002,1,North America,4,2012-01-01
38384,22567,nCircle Network Security,Security,52300999,1,North America,5,1998-01-01
38385,22568,Ncite Neuromedia,Consulting|Education|Games,38924,1,North America,1,2014-01-01
38387,22569,NComputing,Software,57800000,1,North America,3,2003-01-01
38389,22570,nContact Surgical,Health Care,51954587,1,North America,6,2005-01-01
38391,22571,NCR,Software,1500000,2,North America,1,1884-01-01
38393,22572,Ncrease,Big Data Analytics|Predictive Analytics|Social Media,25000,1,North America,1,2015-04-01
38394,22573,"nCrowd, Inc.",Advertising,7100000,1,North America,2,2013-02-01
38395,22574,nCrypted Cloud,Collaboration|Enterprise Software|Privacy|Security,9250000,1,North America,3,2012-07-04
38400,22575,nCube Smart Home,Analytics|Energy Management|Home Automation,3826452,1,Europe,1,2012-11-01
38401,22576,Ncube World,Games,30676,1,Asia,1,2012-08-15
38402,22577,ncyclo,Analytics,1000000,1,North America,2,2013-08-01
38404,22578,NDI Medical,Health Care,22108725,1,North America,2,2002-01-01
38405,22579,nDreams,Games|Virtual Worlds,3164683,1,Europe,2,2006-09-28
38406,22580,NDSSI Holdings,Health and Wellness|Human Computer Interaction|Image Recognition,11318726,1,North America,3,2013-01-01
38408,22581,ndustrial.io,Clean Technology|Energy Efficiency|Manufacturing|Renewable Energies|Sustainability,1400000,1,North America,2,2015-03-11
38409,22582,NEAH Power Systems,Clean Technology,6268669,1,North America,2,1999-01-01
38414,22583,Near Infrared Imaging,Medical,20000,1,North America,1,2009-12-15
38415,22584,Near Page,Advertising,10000,1,Asia,1,2013-10-04
38416,22585,Nearable Technology Corp.,Internet of Things|Mobile|SaaS,400466,1,North America,1,2015-04-07
38417,22586,Nearbox,Local|Location Based Services|Mobile|Social Network Media,25000,1,Europe,1,2012-08-12
38418,22587,Nearbuy Systems,Analytics|Retail,3282327,1,North America,3,2010-04-01
38420,22588,Nearbuyme Technologies,Design|E-Commerce|Fashion|Marketplaces,1125000,1,Asia,2,2012-12-25
38422,22589,NearVerse,Mobile,1000000,1,North America,2,2008-12-01
38423,22590,Near,Advertising|Analytics|Location Based Services|Media|Mobile Analytics|Technology,25500000,1,Asia,2,2012-11-01
38424,22591,NearDesk,Biometrics|Sensors,1996837,1,Europe,3,2011-01-01
38427,22592,Novelroots Internet,Events|Local Search,300000,1,Asia,1,2012-12-01
38428,22593,Nearlyweds,Curated Web,150000,1,North America,1,2007-07-01
38434,22594,Neater Pet Brands,Pets,1672753,1,North America,2,2006-01-01
38435,22595,"Neato Robotics, Inc.",Hardware + Software,43843083,1,North America,4,2005-01-01
38436,22596,Nebel.TV,Bitcoin|Mobile|Music|Peer-to-Peer|Video,100000,0,North America,1,2013-01-01
38437,22597,Nebo,Software,250000,0,Europe,2,2011-10-01
38440,22598,NEBOTRADE,Biotechnology,300000,0,Europe,1,1993-01-01
38441,22599,NebuAd,Advertising,30150000,0,North America,2,2006-01-01
38442,22600,"Nebula, Inc.",Cloud Computing|Enterprise Software|Hardware,38500000,0,North America,4,2011-04-01
38444,22601,Nebulab,Cloud Data Services|Data Integration|SaaS,253000,1,North America,3,2014-04-09
38445,22602,Nebulus Audio,Collaboration|Music|Music Services|SaaS,25000,1,North America,2,2014-05-15
38449,22603,"Nectar Online Media, Inc. (nectarOM)",Analytics|Big Data|CRM|E-Commerce|Marketing Automation|SaaS|Sales and Marketing,1300000,1,North America,2,2012-08-01
38450,22604,NED Biosystems,Biotechnology,1507500,1,North America,1,2008-01-01
38451,22605,nediyor.com,Content Discovery|Curated Web|News,140449,1,Asia,1,2012-06-06
38452,22606,Need,E-Commerce|Fashion|Lifestyle|Mobile|Technology,615000,1,North America,2,2013-02-25
38453,22607,Need Fixed Parts,Consumer Electronics|iPhone|Mobile,75000,1,North America,2,2014-04-14
38454,22608,Need Supply,Fashion,3300000,1,North America,1,1996-01-01
38455,22609,Needbox AS,Advertising|Charity|Curated Web|Sales and Marketing|Services|Social Media,100000,1,Europe,1,2013-03-27
38456,22610,Needcheck,B2B|E-Commerce,10000,1,South America,1,2013-04-10
38458,22611,Needish,Marketplaces|Social Media|Social Network Media|Web Development,500000,1,South America,1,2007-07-01
38459,22612,Needium,Enterprise Software|Local|Search|Social Media,1000000,0,North America,1,2010-01-01
38461,22613,Needle,Chat|Crowdsourcing|E-Commerce|Mobile Commerce|Social Commerce|Software,19500003,1,North America,3,2010-01-01
38462,22614,Needle HR,Creative|Curated Web|Human Resources|Recruiting|SaaS,80000,1,North America,1,2013-01-01
38463,22615,Needly,Advertising,987500,1,North America,1,2010-01-01
38464,22616,needmade,Creative Industries|Freelancers|Recruiting,50000,1,North America,1,2014-02-01
38469,22617,Nefsis,Collaboration|Software|Video Conferencing,1500000,1,North America,2,1998-01-01
38470,22618,Neft,Credit|Financial Services|FinTech,10000000,1,North America,1,2013-01-01
38471,22619,Negevtech,Semiconductors,36000000,1,North America,1,1999-01-01
38473,22620,Negorama,Real Estate|Retail,7778,1,Europe,1,2012-11-26
38474,22621,Negotiant,Legal|Real Estate|Services,13058,1,Europe,1,2005-12-07
38476,22622,NeighborGoods,Curated Web,100000,1,North America,1,2009-05-01
38480,22623,Neighborly,Finance|FinTech|Governments|Software,5675000,1,North America,2,2012-03-01
38481,22624,NeighborMD,Biotechnology,3298998,1,North America,3,2010-01-01
38483,22625,Neighbourly,Business Analytics|Social Media|Social Media Platforms|Social Network Media|Sustainability,1557308,1,Europe,2,2013-01-01
38488,22626,nekst,Hotels|Online Travel|Travel,147705,1,Europe,1,2015-04-01
38491,22627,Nektria,Consulting|Drones|E-Commerce|File Sharing|Fleet Management|Logistics|Mobility|SEO|Software|Transportation,475057,1,Europe,2,2012-01-01
38497,22628,Nema Labs,Health and Wellness|Software,2250070,0,Europe,2,2006-01-01
38500,22629,NemeriX,Gps|Semiconductors,60388934,0,Europe,3,2002-01-01
38502,22630,NEMO Equipment,Adventure Travel|Sports|Travel,8000000,1,North America,2,2002-04-24
38503,22631,Nemo Power Tools Limited,Design|Energy|Manufacturing,400000,1,North America,1,2014-06-01
38504,22632,Nemo TV,Big Data|E-Commerce|Internet TV|Personalization|Television|Video on Demand|Video Streaming,20500000,1,Europe,5,2011-07-01
38506,22633,NEMUS Bioscience,Pharmaceuticals,6180089,2,North America,4,2012-01-01
38507,22634,Nengtong Science and Technology,E-Commerce,10000000,1,Asia,1,2002-01-01
38508,22635,Gametech Limited,Mobile Games|Online Gaming,4500000,1,Europe,1,2014-01-01
38511,22636,Neo PLM,Pharmaceuticals,100000,0,North America,1,2011-01-01
38512,22637,Neo Quotient,Education|SaaS,35000,0,Asia,2,2012-08-27
38513,22638,Neo Technology,Analytics|Big Data|Databases|Enterprise Software|Software,44100000,1,North America,4,2007-01-01
38516,22639,Neocase Software,Software,16500000,1,North America,2,2001-01-01
38517,22640,NeoChord,Biotechnology,31433055,1,North America,4,2007-01-01
38518,22641,Neocis,Health Care|Medical Devices|Robotics,2423000,1,North America,2,2012-01-01
38519,22642,Neocleus,Enterprise Software,22478077,1,North America,3,2006-01-01
38521,22643,NeoCodex,Health Care|Technology,785000,1,Europe,1,2002-01-01
38522,22644,Neoconix,Electronics|Innovation Engineering|Manufacturing,56831957,1,North America,6,2003-01-01
38523,22645,Neocoretech,Software,2260000,1,Europe,1,2006-01-01
38524,22646,Neocrafts,Music,5500000,1,Asia,1,2005-01-01
38528,22647,NeoDiagnostix,Biotechnology|Health Diagnostics,1509997,1,North America,1,2005-01-01
38530,22648,NeoEdge Networks,Advertising,10000000,1,North America,3,2002-05-02
38533,22649,Neofocal Systems,Semiconductors,12060000,1,North America,2,2008-01-01
38535,22650,Neogenix Oncology,Biotechnology,15846225,1,North America,2,2003-01-01
38536,22651,NeoGenomics Laboratories,Biotechnology,500000,2,North America,1,2002-01-01
38537,22652,Neoglyphic Entertainment,Entertainment,2430000,1,North America,1,2014-01-01
38538,22653,Neograft Technologies,Health Care,34299994,1,North America,5,2009-01-01
38539,22654,Neogrowth,Finance,8620000,1,Asia,2,2010-01-01
38540,22655,NeoGuide Systems,Biotechnology,39000000,1,North America,2,2000-01-01
38541,22656,Neokami Inc.,Artificial Intelligence|Computer Vision|Cyber Security|Machine Learning,1100000,1,North America,2,2014-08-01
38542,22657,Neokinetics,Software,393000,1,North America,1,2004-01-01
38543,22658,Neolane,Software,41874460,1,Europe,4,2001-01-01
38545,22659,Neomatrix,Hardware + Software,4225311,1,North America,2,1999-01-01
38546,22660,NeoMed Inc,Health and Wellness,244822,1,North America,1,2007-01-01
38548,22661,NeoMedia Technologies,App Marketing|Mobile,11365000,1,North America,2,1989-01-01
38549,22662,Neomend,Biotechnology,61702727,1,North America,5,1999-01-01
38550,22663,Neomobile,Mobile Commerce|Mobile Payments,13500000,1,Europe,2,2007-02-01
38551,22664,NEON Concierge,Hospitality|Hotels|Software,135000,0,North America,1,2013-06-01
38552,22665,Neon Labs,Curated Web,4724999,1,North America,2,2012-01-01
38553,22666,Neon Mobile,Advertising|Marketing Automation|Mobile|Social + Mobile + Local,220000,1,North America,2,2011-01-01
38560,22667,NeoNova Network Services,Cable|CRM|Customer Service|Internet|Internet Service Providers|Telecommunications|Web Hosting|Wireless,2000000,1,North America,1,1994-01-01
38562,22668,NeoPath Networks,Enterprise Software,29000000,1,North America,3,2002-01-01
38563,22669,NeoPhotonics,Semiconductors|Web Hosting,194673840,2,North America,6,1997-01-01
38564,22670,Neopolitan Networks,Curated Web,3170000,0,North America,1,2002-01-01
38566,22671,NeoReach,Advertising Platforms|Marketing Automation|SaaS|Social Media Marketing,1800000,1,North America,2,2013-10-01
38568,22672,NEOS GeoSolutions,3D Technology|Energy|Natural Resources|Oil|Predictive Analytics,60000000,1,North America,1,2009-04-01
38569,22673,Neos Therapeutics,Biotechnology,96278860,2,North America,6,2008-01-01
38570,22674,neoSaej,Banking|Curated Web,16437900,0,North America,6,2006-01-01
38571,22675,NeoScale Systems,Security,24000000,0,North America,2,2000-01-01
38572,22676,neoScores®,Apps|Music|Music Education|Music Services,2155846,1,Europe,1,2013-07-01
38579,22677,Neotract,Health Care,125964844,0,North America,4,2004-01-01
38580,22678,Neotrade Analytics,Trading,227000,1,Asia,1,2013-12-05
38581,22679,Neotropix,Biotechnology,1400000,1,North America,1,2003-01-01
38583,22680,Neovasc,Hardware + Software,25848302,0,North America,2,2008-01-01
38584,22681,Neovision Hypersystems,Data Visualization,7000000,1,North America,1,1995-01-01
38587,22682,NeoZeo,Environmental Innovation,1074925,1,Europe,2,2010-01-01
38590,22683,Nephera,Health Care|Medical Devices,2800000,1,Asia,1,2007-01-01
38591,22684,"NephoScale, Inc.",Cloud Data Services|Enterprise Software|Licensing|Networking|Software|Web Hosting,1000000,1,North America,1,2010-01-01
38592,22685,Nephosity,Enterprise Software|Health Care|Health Care Information Technology|Medical,20000,1,North America,1,2010-03-01
38595,22686,NephroPlus,Health and Wellness,14000000,1,Asia,2,2009-01-01
38596,22687,Nephros,Hardware + Software|Medical Devices,2613500,2,North America,3,1997-01-01
38597,22688,NephRx Corporation,Biotechnology,6219317,1,North America,1,1995-01-01
38598,22689,Nepris,Charter Schools|EdTech|Education|K-12 Education|Teachers|Technology,1000000,1,North America,2,2013-01-01
38599,22690,Neptune,Games,470000,1,Asia,1,2012-01-01
38600,22691,Neptune Computer Inc.,Android|Hardware + Software|Wearables,3500000,1,North America,1,2012-05-04
38601,22692,Neptune.io,Cloud Computing|Cloud Infrastructure|Enterprise Software|IT Management|SaaS,120000,1,North America,2,2013-11-11
38602,22693,Neptune Mobile Devices,Defense|Mobile Devices|Software,100000,1,North America,1,2009-04-01
38603,22694,Neptune Software AS,Software,821448,1,Europe,1,2011-06-25
38605,22695,Nerd Attack,Apps|Mobile,35000,1,Asia,1,2009-03-18
38606,22696,Nerd Kingdom,Software,703630,1,North America,2,2012-01-01
38608,22697,Nerdies,EdTech|Education,21000,1,North America,1,2013-10-01
38610,22698,NerdWallet,Consumers|Credit Cards|Curated Web|Incentives|Personal Finance|Search,102000000,1,North America,3,2009-01-01
38613,22699,NERI,Biotechnology,45000000,1,North America,1,1986-01-01
38614,22700,NERITES,Biotechnology,2269779,0,North America,2,2004-01-01
38616,22701,Neronote,Brand Marketing|E-Commerce|Fashion|Mass Customization,200000,1,Europe,1,2010-01-01
38617,22702,NeRRe Therapeutics,Fitness|Health Care|Medical,18400000,1,Europe,1,2012-01-01
38618,22703,Nervana Systems,Computers,24400000,1,North America,3,2014-01-01
38620,22704,Nerveda,Biotechnology,14135454,1,North America,1,2007-01-01
38621,22705,Nervogrid,Enterprise Software,866000,1,Europe,1,2004-01-01
38622,22706,Nervve Technologies,Analytics|Brand Marketing|Machine Learning|Social Search|Video|Visual Search,5300000,1,North America,3,2012-01-01
38623,22707,Ness Clothing,Fashion,3715648,1,North America,1,1996-01-01
38624,22708,Ness Computing,Apps|App Stores|iPhone|Restaurants|Search,20000000,1,North America,2,2009-10-01
38625,22709,Ness Display Corp,Technology,15000000,1,Asia,1,2000-01-01
38626,22710,NestAway,Real Estate,13200000,1,Asia,2,2015-01-01
38628,22711,NeST Group,Software,22250000,1,Asia,1,1991-01-01
38629,22712,Nest Labs,Home Automation,80000000,1,North America,3,2010-05-25
38632,22713,Nestegg Biotech,3D Printing|Bio-Pharm|Biotechnology,16227,1,Europe,1,2014-05-01
38634,22714,Nestigator.com,Real Estate,3000000,1,North America,1,2014-03-13
38636,22715,nestpick,Online Rental|Real Estate|Rental Housing,11000000,1,Europe,3,2014-05-01
38639,22716,Net Element,E-Commerce|Mobile Commerce|Mobile Payments|Payments|Technology,156400000,2,North America,11,2004-01-10
38641,22717,Net Orange,Health and Wellness,8000000,1,North America,2,2006-01-01
38647,22718,Net Transmit & Receive,Enterprise Software,15790000,1,Europe,2,2000-01-01
38649,22719,Net Zero AquaLife,Clean Technology,5010000,1,North America,1,2013-12-13
38650,22720,Netadmin,Software,12420000,1,Europe,2,2004-12-02
38651,22721,Netafim,Agriculture|Clean Technology,500000000,1,Asia,1,1966-01-01
38652,22722,netagenda Inc.,Online Scheduling,1070000,1,Europe,4,2011-11-22
38653,22723,NetAmerica Alliance,Mobile,4125000,1,North America,1,2009-01-01
38654,22724,Netaplan,Curated Web,2230000,1,Europe,1,2007-01-01
38655,22725,Netasq,Information Security|Security|Services,14795722,1,Europe,4,1998-01-01
38656,22726,Netatmo,Hardware|Mobile,38556054,1,Europe,2,2011-01-01
38658,22727,NetBase Solutions,Analytics|Enterprise Search|Semantic Search|Social Media,84600000,1,North America,8,2004-01-01
38659,22728,Netbeast,Home Automation|Internet of Things|Telecommunications,140000,1,Europe,2,2014-11-01
38660,22729,NetBeez,Software,125000,1,North America,4,2013-04-01
38661,22730,Netberg,Enterprise Software,227171,1,Europe,1,2013-04-08
38662,22731,Netbiscuits,Mobile|Web Design|Web Development,27000000,1,Europe,3,2000-01-01
38663,22732,netBlazr,Internet|Internet Service Providers|Wireless,975000,1,North America,2,2010-05-03
38664,22733,Netbooks,Curated Web,16356028,1,North America,4,2006-01-01
38665,22734,NetBoss Technologies,Software,8500000,1,North America,1,2010-01-01
38667,22735,NetBrain Technologies,Software,30000000,1,North America,1,2004-01-01
38668,22736,Netbyte Hosting,Domains|Networking|SEO|Web Development|Web Hosting,2500000,0,North America,1,2005-10-01
38673,22737,Netchemia,Enterprise Software,6500000,1,North America,1,2001-01-01
38674,22738,Netcipia,Blogging Platforms|Communities|Curated Web|Monetization|Web Development|Web Tools,200000,0,North America,1,2006-04-30
38678,22739,NetConstat,Broadcasting|Internet|Real Time|SaaS,141699,1,Europe,1,2010-01-01
38679,22740,Netcontinuum,Enterprise Software,41000000,1,North America,2,1999-01-01
38680,22741,Netcordia,Information Technology|Networking|Software,13000000,1,North America,2,2000-01-01
38682,22742,NetDevices,Software,25000000,1,North America,1,2003-01-01
38684,22743,NetDocuments,Cloud Data Services,25000000,1,North America,1,1999-01-01
38685,22744,NetDragon Education,Education|Internet|Mobile|Software,52500000,1,Asia,1,2014-01-01
38688,22745,NetEffect,Semiconductors|Web Hosting,103030000,1,North America,5,1999-01-01
38689,22746,Neterion,Hardware + Software,57680000,1,North America,4,2001-01-01
38690,22747,Netero,P2P Money Transfer,150000,1,North America,1,2014-01-01
38691,22748,Neteven,Brand Marketing|Business Services|Networking|Sales and Marketing|Software,2260020,1,Europe,2,2005-12-01
38692,22749,Netezza,Analytics|Big Data|Databases|Enterprise Software|Storage,40000000,1,North America,2,2000-01-01
38693,22750,netFactor,Advertising|Analytics|B2B|Cloud Computing|CRM|Lead Generation|Marketing Automation|SaaS,2000000,1,North America,1,2003-08-01
38694,22751,Netfective Technology,Software,845000,1,Europe,1,2000-01-01
38695,22752,Netflix,Consumer Electronics|Entertainment|Games|Video,1730000000,2,North America,3,1997-01-01
38696,22753,Netformx,Design|Enterprise Software|Software,12000000,1,North America,1,1994-01-01
38697,22754,Netgamix Inc,Digital Media|Facebook Applications|Games|Social Games|Social Network Media,132885,0,North America,3,2010-09-24
38698,22755,NETGEAR,Hardware + Software|Telecommunications,98000000,2,North America,1,1996-01-01
38702,22756,NetGuardians,Security,5249215,1,Europe,1,2007-01-01
38704,22757,Netherfire Entertainment,Entertainment,1500000,1,North America,1,2014-07-12
38705,22758,Netherin Enterprises,E-Commerce,12000,1,North America,1,2014-08-06
38706,22759,NetHooks,Business Services|Career Management|Employment|Networking|Recruiting|Web Hosting,100000,1,North America,1,2007-11-01
38707,22760,Nethra Imaging,Semiconductors,14000000,0,North America,1,2003-01-01
38708,22761,Nethub,Analytics|Business Intelligence|Enterprise Software|Sales and Marketing|Semantic Web,451422,1,South America,4,2011-05-30
38712,22762,NetIQ,IT Management|Software,7400000,2,North America,1,1995-01-01
38713,22763,Netkey,Computers|Security|Software,12500000,1,North America,2,1983-01-01
38714,22764,NetLex,Cloud Computing|Internet|Legal|Mobile|SaaS|Software,451804,1,Europe,2,2013-04-29
38715,22765,Netli,Web Hosting,18000000,1,North America,1,2000-01-01
38716,22766,Netlift,Mobile|Payments|Public Transportation,443539,1,North America,4,2012-03-15
38717,22767,Netlist,Semiconductors,16648351,2,North America,2,2000-01-01
38718,22768,Netlog,Curated Web|Social Media,6671232,1,Europe,1,2003-03-18
38719,22769,NetLogic Microsystems,Hardware|Semiconductors,32000000,1,North America,1,1995-01-01
38720,22770,Netlogon,Web Hosting,2710000,1,Europe,1,1996-01-01
38721,22771,Netmagic Solutions,Web Hosting,36000000,1,Asia,2,1999-01-01
38722,22772,NetManage,Software,2700000,1,North America,1,1990-01-01
38727,22773,Netmining,Advertising,323025,1,North America,1,1999-01-01
38728,22774,NetMinions,Consulting|Software,15000,1,North America,1,2013-10-22
38729,22775,Netmoda Internet Hizmetleri A.S.,Brand Marketing|Fashion|Social Media|Software,1500000,1,Asia,1,2012-06-10
38730,22776,NetMotion Wireless,Mobile|Trusted Networks|Wireless,10800000,1,North America,1,2001-01-01
38733,22777,Netnui.com,Analytics,40000,1,South America,1,2012-01-01
